id   |Id_AutorGS  |Nombre_Autor                              |Cargo                                                                                                                       |Dominio  |Intereses                                                                                                               |Link                                                        |Hindex_Todo|Hindex_Desde|Citas_Todo|Citas_Desde|i10_Index_Todo|i10_Index_Desde|Id_InstitucionGS   |
35452|sQbSxDoAAAAJ|Doris Saez                                |Full Professor, U. Chile                                                                                                    |uchile   |Fuzzy systemsPredictive Control                                                                                         |https://scholar.google.com/citations?hl=en&user=sQbSxDoAAAAJ|         28|          22|      3479|       2478|            39|             54|9232372474901007921|
35631|4n42PKoAAAAJ|Valentina Parra                           |ACCDiS, Advanced Center for Chronic Diseases. Universidad de Chile.                                                         |uchile   |Cell BiologySignal TransductionMitochondriaMetabolism                                                                   |https://scholar.google.com/citations?hl=en&user=4n42PKoAAAAJ|         28|          26|      3477|       2477|            39|             42|9232372474901007921|
35678|h2F8sjEAAAAJ|Carlos Conca                              |Professor of Mathematics, University of Chile                                                                               |uchile   |Applied MathematicsPartial Differential EquationsInverse ProblemsFluid Mechanics                                        |https://scholar.google.com/citations?hl=en&user=h2F8sjEAAAAJ|         29|          19|      3426|       1072|            28|             70|9232372474901007921|
35881|Zh4GpigAAAAJ|J.P. Le Roux                              |Universidad de Chile                                                                                                        |uchile   |Geologyengineeringoceanographypaleontology                                                                              |https://scholar.google.com/citations?hl=en&user=Zh4GpigAAAAJ|         33|          19|      3315|       1108|            39|             85|9232372474901007921|
36100|i6_OY98AAAAJ|Eduardo Rodriguez/ Eduardo Rodriguez Yunta|Profesor de Bioética Universidad de Chile/ Researcher Sloan Kettering Cancer Institute                                      |uchile   |genéticabioéticaética de investigación                                                                                  |https://scholar.google.com/citations?hl=en&user=i6_OY98AAAAJ|         28|          15|      3279|        653|            22|             44|9232372474901007921|
36279|Kq4dWnoAAAAJ|Carlos Huneeus                            |Profesor de la Facultad de Derecho, Universidad  de Chile                                                                   |uchile   |política comparadaregímenes autoritariosbases económicas de la democracia                                               |https://scholar.google.com/citations?hl=en&user=Kq4dWnoAAAAJ|         26|          14|      3263|       1301|            24|             51|9232372474901007921|
36500|zmrNJHEAAAAJ|Rodrigo Cornejo                           |Médico Especialista en Medicina Intensiva; Profesor Asociado, Universidad de Chile                                          |hcuch    |Ventilación MecánicaSindrome de Distrés Respiratorio AgudoSepsis                                                        |https://scholar.google.com/citations?hl=en&user=zmrNJHEAAAAJ|         19|          18|      3249|       1367|            22|             31|9232372474901007921|
36613|QitqqfkAAAAJ|Rodrigo A. Vasquez                        |IEB, University of Chile                                                                                                    |uchile   |                                                                                                                        |https://scholar.google.com/citations?hl=en&user=QitqqfkAAAAJ|         34|          19|      3223|       1535|            60|             91|9232372474901007921|
36809|Ug4b1XQAAAAJ|Gustavo Zurita                            |Full Professor, DCS Department, Universidad de Chile                                                                        |uchile   |Collaborative Information SystemsTechnology Enhanced LearningKnowledge Management                                       |https://scholar.google.com/citations?hl=en&user=Ug4b1XQAAAAJ|         21|          14|      3156|       1114|            18|             41|9232372474901007921|
37014|90tOwg8AAAAJ|Verónica Palma                            |Professor Universidad de Chile                                                                                              |uchile   |Developmental biologyCancerRegenerative MedicineStem cellsShh signaling neurodevelopmental disorders                    |https://scholar.google.com/citations?hl=en&user=90tOwg8AAAAJ|         22|          17|      3130|       1079|            31|             38|9232372474901007921|
37072|QKniBGwAAAAJ|Manuel Duarte-Mermoud                     |Professor E.E. Dept. University of Chile                                                                                    |uchile   |AutomationEnergyWine Industry                                                                                           |https://scholar.google.com/citations?hl=en&user=QKniBGwAAAAJ|         22|          16|      3110|       2202|            32|             57|9232372474901007921|
37321|9at1wjkAAAAJ|Xavier Emery                              |University of Chile                                                                                                         |uchile   |geostatistics                                                                                                           |https://scholar.google.com/citations?hl=en&user=9at1wjkAAAAJ|         32|          24|      3084|       1872|            67|             94|9232372474901007921|
37539|GVmLpu0AAAAJ|Cristian E. Cortes                        |Universidad de Chile                                                                                                        |uchile   |engineeringsocial sciencestransportation                                                                                |https://scholar.google.com/citations?hl=en&user=GVmLpu0AAAAJ|         30|          21|      3071|       1568|            47|             63|9232372474901007921|
37766|Oi3Phu8AAAAJ|Luis E. F. Foa Torres                     |Associate Professor, Departamento de Física, FCFM, Universidad de Chile                                                     |uchile   |condensed matter physicsquantum transportdriven systems and Floquet theorygraphenetopological quantum matter            |https://scholar.google.com/citations?hl=en&user=Oi3Phu8AAAAJ|         28|          19|      3064|       2181|            29|             40|9232372474901007921|
37848|P-sMWA0AAAAJ|Pablo Richter                             |Full Professor, University of Chile                                                                                         |uchile   |Analytical ChemistryEnvironmental Chemistry                                                                             |https://scholar.google.com/citations?hl=en&user=P-sMWA0AAAAJ|         32|          19|      3040|       1311|            47|             88|9232372474901007921|
38021|wnolr9sAAAAJ|Federico Luebert                          |Universidad de Chile                                                                                                        |uchile   |BotanyBiogeography                                                                                                      |https://scholar.google.com/citations?hl=en&user=wnolr9sAAAAJ|         24|          17|      3027|       1810|            32|             45|9232372474901007921|
38128|pkfRv9YAAAAJ|Audrey Grez                               |Prof. Titular, Universidad de Chile                                                                                         |uchile   |Ecologíaconservación de biodiversidad en agroecosistemas                                                                |https://scholar.google.com/citations?hl=en&user=pkfRv9YAAAAJ|         31|          20|      3019|       1517|            43|             68|9232372474901007921|
38252|OP0ZdHUAAAAJ|Alejandro Pablo Sabat                     |Profesor Titular, Universidad de Chile                                                                                      |uchile   |energeticsphysiological ecologyisotopic ecologyzoology                                                                  |https://scholar.google.com/citations?hl=en&user=OP0ZdHUAAAAJ|         31|          19|      3009|       1234|            42|             81|9232372474901007921|
38418|WHuuVSEAAAAJ|Jaime San Martin                          |Universidad de Chile                                                                                                        |uchile   |ProbabilityLinear algebraForestryAstroinformatics                                                                       |https://scholar.google.com/citations?hl=en&user=WHuuVSEAAAAJ|         26|          18|      2944|       1318|            26|             45|9232372474901007921|
38538|fLUHNZUAAAAJ|Pedro Maldonado                           |Universidad de Chile                                                                                                        |uchile   |Neuroscience                                                                                                            |https://scholar.google.com/citations?hl=en&user=fLUHNZUAAAAJ|         21|          16|      2915|        855|            21|             34|9232372474901007921|
38655|NYyo2yQAAAAJ|Maria Cecilia Rivara                      |Professor of Computer Science, University of Chile                                                                          |uchile   |Meshing algorithmsgeometrical algorithmsfinite element methodsscientific visualization                                  |https://scholar.google.com/citations?hl=en&user=NYyo2yQAAAAJ|         24|          12|      2879|        422|            13|             36|9232372474901007921|
38762|QP1aKqcAAAAJ|Jose Correa                               |Universidad de Chile                                                                                                        |uchile   |Operations ResearchMarket DesignAlgorithmic Game TheoryMechanism Design                                                 |https://scholar.google.com/citations?hl=en&user=QP1aKqcAAAAJ|         27|          21|      2904|       1341|            35|             50|9232372474901007921|
38841|XkHMNP8AAAAJ|Yarko Niño                                |Universidad de Chile                                                                                                        |uchile   |Environmental HydrodynamicsSediment TransportGranular FlowsGeophysical Flows.                                           |https://scholar.google.com/citations?hl=en&user=XkHMNP8AAAAJ|         25|          17|      2881|       1126|            25|             43|9232372474901007921|
39010|vm0vcLkAAAAJ|Aris Daniilidis                           |Professor, University of Chile                                                                                              |uchile   |Variational AnalysisOptimization                                                                                        |https://scholar.google.com/citations?hl=en&user=vm0vcLkAAAAJ|         26|          17|      2859|       1528|            33|             50|9232372474901007921|
39115|Ar7FIkYAAAAJ|Gabriela Díaz-Véliz                       |Facultad de medicina, Universidad de Chile                                                                                  |uchile   |farmacologíacomportamientoestrésaprendizaje                                                                             |https://scholar.google.com/citations?hl=en&user=Ar7FIkYAAAAJ|         28|          18|      2845|       1078|            26|             47|9232372474901007921|
39203|aCoZKyAAAAAJ|Evgenia Spodine                           |Profesor Facultad de Ciencias Químicas y Farmacéuticas; Universidad de Chile                                                |uchile   |Química InorgánicaMateriales InorgánicosMagnetismo Molecular                                                            |https://scholar.google.com/citations?hl=en&user=aCoZKyAAAAAJ|         27|          14|      2830|        928|            23|             83|9232372474901007921|
39444|FFayRJ0AAAAJ|Paulina Donoso                            |Instituto de Ciencias Biomedicas. Facultad de Medicina. Universidad de Chile                                                |uchile   |                                                                                                                        |https://scholar.google.com/citations?hl=en&user=FFayRJ0AAAAJ|         29|          17|      2795|        709|            21|             44|9232372474901007921|
39557|UazqC4IAAAAJ|Norman Marcelo Arnold Cathalifaud         |Universidad de Chile                                                                                                        |uchile   |teoria de sistemasLuhmannsociologíaantropologíaenvejecimiento                                                           |https://scholar.google.com/citations?hl=en&user=UazqC4IAAAAJ|         26|          16|      2810|       1404|            33|             54|9232372474901007921|
39848|NK44AZoAAAAJ|Juan C. Aguillon                          |Professor of Immunology at University of Chile                                                                              |uchile   |ImmunologyAutoimmunityToleranceAutoantibodies                                                                           |https://scholar.google.com/citations?hl=en&user=NK44AZoAAAAJ|         31|          19|      2799|       1143|            38|             62|9232372474901007921|
