idgs,id,nombre,atributos,correo,intereses,titulo,autores,revista,citado por,año
ki2cCE8AAAAJ,uct,Fernando A. Peña Cortés,"Profesor Titular, Laboratorio de Planificación Territorial. Universidad Católica de Temuco",,,Efectos de la contaminación atmosférica por material particulado en las enfermedades respiratorias agudas en menores de 5 años,"S Barrios Casas, F Peña-Cortés, S Osses Bustingorry","Ciencia y enfermería 10 (2), 21-29, 2004",45,2004
ki2cCE8AAAAJ,uct,Fernando A. Peña Cortés,"Profesor Titular, Laboratorio de Planificación Territorial. Universidad Católica de Temuco",,,Tamaño y forma de fragmentos de bosque y su relación con la riqueza de especies de árboles y arbustos,"J Pincheira-Ulbrich, JR Rau, F Peña-Cortés","Phyton (Buenos Aires) 78 (2), 121-128, 2009",39,2009
ki2cCE8AAAAJ,uct,Fernando A. Peña Cortés,"Profesor Titular, Laboratorio de Planificación Territorial. Universidad Católica de Temuco",,,Prescripción delegada por especialistas en atención primaria,"MPA Aniés, E Cano, R Ansorena, J Celay, F Cortés, VE Urabayen","Atención primaria: Publicación oficial de la Sociedad Española de Familia y …, 1995",37,1995
ki2cCE8AAAAJ,uct,Fernando A. Peña Cortés,"Profesor Titular, Laboratorio de Planificación Territorial. Universidad Católica de Temuco",,,Rainbow trout diets and macroinvertebrates assemblages responses from watersheds dominated by native and exotic plantations,"P Fierro, L Quilodrán, C Bertrán, I Arismendi, J Tapia, F Pena-Cortés, ...","Ecological Indicators 60, 655-667, 2016",36,2016
ki2cCE8AAAAJ,uct,Fernando A. Peña Cortés,"Profesor Titular, Laboratorio de Planificación Territorial. Universidad Católica de Temuco",,,Diversidad vegetal en humedales costeros de la Región de La Araucanía,"E Hauenstein, M González, F Peña-Cortés, A Muñoz-Pedreros","Historia, biodiversidad y ecología de los bosques costeros de Chile 1, 197209, 2005",30,2005
ki2cCE8AAAAJ,uct,Fernando A. Peña Cortés,"Profesor Titular, Laboratorio de Planificación Territorial. Universidad Católica de Temuco",,,Conocimientos culturales como contenidos de la educación familiar mapuche,"S Quintriqueo, D Quilaqueo, F Peña-Cortés, G Muñoz","Alpha (Osorno), 131-146, 2015",28,2015
ki2cCE8AAAAJ,uct,Fernando A. Peña Cortés,"Profesor Titular, Laboratorio de Planificación Territorial. Universidad Católica de Temuco",,,"Oferta turística y perfil sociocultural de los empresarios turísticos del borde costero de la Araucanía, Chile","M Escalona-Ulloa, F Peña Corté, R Hiriarte Llanos","Estudios y perspectivas en turismo 21 (2), 306-321, 2012",28,2012
ki2cCE8AAAAJ,uct,Fernando A. Peña Cortés,"Profesor Titular, Laboratorio de Planificación Territorial. Universidad Católica de Temuco",,,Cambio de uso del suelo en los geosistemas de la cuenca costera del río Boroa (Chile) entre 1994 y 2004,"F Peña-Cortés, M Escalona-Ulloa, J Pincheira-Ulbrich, G Rebolledo","Revista de la Facultad de Ciencias Agrarias. Universidad Nacional de Cuyo 43 …, 2011",27,2011
ki2cCE8AAAAJ,uct,Fernando A. Peña Cortés,"Profesor Titular, Laboratorio de Planificación Territorial. Universidad Católica de Temuco",,,"Comparación florística y estado trófico basado en plantas indicadoras de lagunas costeras de la región de La Araucanía, Chile","E Hauenstein, F Peña-Cortés, C Bertrán, J Tapia, R Schlatter","Ecología austral 18 (1), 43-53, 2008",27,2008
ki2cCE8AAAAJ,uct,Fernando A. Peña Cortés,"Profesor Titular, Laboratorio de Planificación Territorial. Universidad Católica de Temuco",,,"Evaluación de la calidad de vegetación ribereña en dos cuencas costeras del sur de Chile mediante la aplicación del índice QBR, como base para su planificación y gestión …","S Carrasco, E Hauenstein, F Peña-Cortés, C Bertrán, J Tapia, ...","Gayana. Botánica 71 (1), 1-9, 2014",26,2014
ki2cCE8AAAAJ,uct,Fernando A. Peña Cortés,"Profesor Titular, Laboratorio de Planificación Territorial. Universidad Católica de Temuco",,,Gestión de la emergencia ante eventos de inundación por tsunami en Chile: el caso de Puerto Saavedra,"T Montenegro-Romero, F Peña-Cortés","Revista de Geografía Norte Grande, 63-80, 2010",25,2010
5zReziUAAAAJ,uct,Angélica Casanova-Katny,Universidad Católica de Temuco,,,Soil carbon storage controlled by interactions between geochemistry and climate,"S Doetterl, A Stevens, J Six, R Merckx, K Van Oost, M Casanova Pinto, ...","Nature Geoscience 8 (10), 780-783, 2015",405,2015
5zReziUAAAAJ,uct,Angélica Casanova-Katny,Universidad Católica de Temuco,,,Cold resistance in Antarctic angiosperms,"LA Bravo, N Ulloa, GE Zuñiga, A Casanova, LJ Corcuera, M Alberdi","Physiologia Plantarum 111 (1), 55-65, 2001",165,2001
5zReziUAAAAJ,uct,Angélica Casanova-Katny,Universidad Católica de Temuco,,,Antarctic hairgrass expansion in the South Shetland archipelago and Antarctic Peninsula revisited,"GA Torres-Mellado, R Jaña, MA Casanova-Katny","Polar Biology 34 (11), 1679-1688, 2011",65,2011
